Date,Open,High,Low,Close,Adj Close,Volume,Open_lag1,Open_lag2,Open_lag3,Open_lag4,Open_lag5,Open_lag6,Open_lag7,High_lag1,High_lag2,High_lag3,High_lag4,High_lag5,High_lag6,High_lag7,Low_lag1,Low_lag2,Low_lag3,Low_lag4,Low_lag5,Low_lag6,Low_lag7,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5,Close_lag6,Close_lag7,Adj Close_lag1,Adj Close_lag2,Adj Close_lag3,Adj Close_lag4,Adj Close_lag5,Adj Close_lag6,Adj Close_lag7,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag4,Volume_lag5,Volume_lag6,Volume_lag7
10/28/2014,353.214996,359.984009,352.678986,357.618011,357.618011,7845880.0,354.777008,347.487,358.610992,358.591003,382.962006,386.118011,382.42099,358.631989,359.221008,359.860992,364.345001,385.048004,388.575989,392.645996,349.80899,343.931,342.877014,353.304993,356.446991,382.248993,380.834015,352.989014,354.70401,347.270996,358.345001,358.416992,383.15799,386.475006,352.989014,354.70401,347.270996,358.345001,358.416992,383.15799,386.475006,13033000.0,11272500.0,18127500.0,15585700.0,26456900.0,11641300.0,14188900.0
10/29/2014,357.088989,357.833008,335.342987,335.591003,335.591003,18192700.0,353.214996,354.777008,347.487,358.610992,358.591003,382.962006,386.118011,359.984009,358.631989,359.221008,359.860992,364.345001,385.048004,388.575989,352.678986,349.80899,343.931,342.877014,353.304993,356.446991,382.248993,357.618011,352.989014,354.70401,347.270996,358.345001,358.416992,383.15799,357.618011,352.989014,354.70401,347.270996,358.345001,358.416992,383.15799,7845880.0,13033000.0,11272500.0,18127500.0,15585700.0,26456900.0,11641300.0
10/30/2014,335.709015,350.912994,335.071991,345.304993,345.304993,30177900.0,357.088989,353.214996,354.777008,347.487,358.610992,358.591003,382.962006,357.833008,359.984009,358.631989,359.221008,359.860992,364.345001,385.048004,335.342987,352.678986,349.80899,343.931,342.877014,353.304993,356.446991,335.591003,357.618011,352.989014,354.70401,347.270996,358.345001,358.416992,335.591003,357.618011,352.989014,354.70401,347.270996,358.345001,358.416992,18192700.0,7845880.0,13033000.0,11272500.0,18127500.0,15585700.0,26456900.0
10/31/2014,345.009003,348.045013,337.141998,338.321014,338.321014,12545400.0,335.709015,357.088989,353.214996,354.777008,347.487,358.610992,358.591003,350.912994,357.833008,359.984009,358.631989,359.221008,359.860992,364.345001,335.071991,335.342987,352.678986,349.80899,343.931,342.877014,353.304993,345.304993,335.591003,357.618011,352.989014,354.70401,347.270996,358.345001,345.304993,335.591003,357.618011,352.989014,354.70401,347.270996,358.345001,30177900.0,18192700.0,7845880.0,13033000.0,11272500.0,18127500.0,15585700.0
11/1/2014,338.649994,340.528992,321.054993,325.748993,325.748993,16677200.0,345.009003,335.709015,357.088989,353.214996,354.777008,347.487,358.610992,348.045013,350.912994,357.833008,359.984009,358.631989,359.221008,359.860992,337.141998,335.071991,335.342987,352.678986,349.80899,343.931,342.877014,338.321014,345.304993,335.591003,357.618011,352.989014,354.70401,347.270996,338.321014,345.304993,335.591003,357.618011,352.989014,354.70401,347.270996,12545400.0,30177900.0,18192700.0,7845880.0,13033000.0,11272500.0,18127500.0
11/2/2014,326.075012,329.049988,320.626007,325.891998,325.891998,8603620.0,338.649994,345.009003,335.709015,357.088989,353.214996,354.777008,347.487,340.528992,348.045013,350.912994,357.833008,359.984009,358.631989,359.221008,321.054993,337.141998,335.071991,335.342987,352.678986,349.80899,343.931,325.748993,338.321014,345.304993,335.591003,357.618011,352.989014,354.70401,325.748993,338.321014,345.304993,335.591003,357.618011,352.989014,354.70401,16677200.0,12545400.0,30177900.0,18192700.0,7845880.0,13033000.0,11272500.0
11/3/2014,325.569,334.002014,325.480988,327.553986,327.553986,12948500.0,326.075012,338.649994,345.009003,335.709015,357.088989,353.214996,354.777008,329.049988,340.528992,348.045013,350.912994,357.833008,359.984009,358.631989,320.626007,321.054993,337.141998,335.071991,335.342987,352.678986,349.80899,325.891998,325.748993,338.321014,345.304993,335.591003,357.618011,352.989014,325.891998,325.748993,338.321014,345.304993,335.591003,357.618011,352.989014,8603620.0,16677200.0,12545400.0,30177900.0,18192700.0,7845880.0,13033000.0
11/4/2014,327.161011,331.766998,325.076996,330.492004,330.492004,15655500.0,325.569,326.075012,338.649994,345.009003,335.709015,357.088989,353.214996,334.002014,329.049988,340.528992,348.045013,350.912994,357.833008,359.984009,325.480988,320.626007,321.054993,337.141998,335.071991,335.342987,352.678986,327.553986,325.891998,325.748993,338.321014,345.304993,335.591003,357.618011,327.553986,325.891998,325.748993,338.321014,345.304993,335.591003,357.618011,12948500.0,8603620.0,16677200.0,12545400.0,30177900.0,18192700.0,7845880.0
11/5/2014,330.683014,343.368988,330.683014,339.485992,339.485992,19817200.0,327.161011,325.569,326.075012,338.649994,345.009003,335.709015,357.088989,331.766998,334.002014,329.049988,340.528992,348.045013,350.912994,357.833008,325.076996,325.480988,320.626007,321.054993,337.141998,335.071991,335.342987,330.492004,327.553986,325.891998,325.748993,338.321014,345.304993,335.591003,330.492004,327.553986,325.891998,325.748993,338.321014,345.304993,335.591003,15655500.0,12948500.0,8603620.0,16677200.0,12545400.0,30177900.0,18192700.0
11/6/2014,339.458008,352.966003,338.424011,349.290009,349.290009,18797000.0,330.683014,327.161011,325.569,326.075012,338.649994,345.009003,335.709015,343.368988,331.766998,334.002014,329.049988,340.528992,348.045013,350.912994,330.683014,325.076996,325.480988,320.626007,321.054993,337.141998,335.071991,339.485992,330.492004,327.553986,325.891998,325.748993,338.321014,345.304993,339.485992,330.492004,327.553986,325.891998,325.748993,338.321014,345.304993,19817200.0,15655500.0,12948500.0,8603620.0,16677200.0,12545400.0,30177900.0
